DL Underwood,7.0,6,0,26,0,3.71,West Indies,The Oval,Fri Sep 07 00:00:00 BST 1973
AW Greig,6.0,6,2,21,0,3.5,West Indies,The Oval,Fri Sep 07 00:00:00 BST 1973
MHN Walker,7.0,8,0,36,2,3.85,New Zealand,Dunedin,Sat Mar 30 00:00:00 BST 1974
GJ Gilmour,7.0,8,1,19,2,2.03,New Zealand,Dunedin,Sat Mar 30 00:00:00 BST 1974
G Dymock,7.0,8,0,28,2,3.0,New Zealand,Dunedin,Sat Mar 30 00:00:00 BST 1974
RJ Bright,7.0,8,0,44,0,4.71,New Zealand,Dunedin,Sat Mar 30 00:00:00 BST 1974
GS Chappell,7.0,8,0,51,3,5.46,New Zealand,Dunedin,Sat Mar 30 00:00:00 BST 1974
Sir RJ Hadlee,6.0,8,0,35,0,4.37,Australia,Dunedin,Sat Mar 30 00:00:00 BST 1974
BL Cairns,4.5,8,0,38,0,6.51,Australia,Dunedin,Sat Mar 30 00:00:00 BST 1974
BE Congdon,2.0,8,0,30,0,11.25,Australia,Dunedin,Sat Mar 30 00:00:00 BST 1974
DR O'Sullivan,7.0,8,2,38,1,4.07,Australia,Dunedin,Sat Mar 30 00:00:00 BST 1974
DR Hadlee,5.0,8,0,45,1,6.75,Australia,Dunedin,Sat Mar 30 00:00:00 BST 1974
RO Collinge,7.0,8,1,38,2,4.07,Australia,Christchurch,Sun Mar 31 00:00:00 BST 1974
BL Cairns,7.0,8,0,58,1,6.21,Australia,Christchurch,Sun Mar 31 00:00:00 BST 1974
BE Congdon,7.0,8,0,77,1,8.25,Australia,Christchurch,Sun Mar 31 00:00:00 BST 1974
DR O'Sullivan,7.0,8,0,43,0,4.6,Australia,Christchurch,Sun Mar 31 00:00:00 BST 1974
DR Hadlee,7.0,8,1,37,1,3.96,Australia,Christchurch,Sun Mar 31 00:00:00 BST 1974
GJ Gilmour,7.0,8,0,36,1,3.85,New Zealand,Christchurch,Sun Mar 31 00:00:00 BST 1974
MHN Walker,7.0,8,1,35,1,3.75,New Zealand,Christchurch,Sun Mar 31 00:00:00 BST 1974
AA Mallett,7.0,8,0,47,3,5.03,New Zealand,Christchurch,Sun Mar 31 00:00:00 BST 1974
G Dymock,7.0,8,1,49,0,5.25,New Zealand,Christchurch,Sun Mar 31 00:00:00 BST 1974
KD Walters,7.0,8,0,58,1,6.21,New Zealand,Christchurch,Sun Mar 31 00:00:00 BST 1974
GG Arnold,10.0,6,1,42,2,4.2,India,Leeds,Sat Jul 13 00:00:00 BST 1974
CM Old,10.833333333333334,6,0,43,3,3.96,India,Leeds,Sat Jul 13 00:00:00 BST 1974
RD Jackman,11.0,6,0,44,2,4.0,India,Leeds,Sat Jul 13 00:00:00 BST 1974
RA Woolmer,11.0,6,0,62,2,5.63,India,Leeds,Sat Jul 13 00:00:00 BST 1974
AW Greig,11.0,6,0,63,1,5.72,India,Leeds,Sat Jul 13 00:00:00 BST 1974
S Abid Ali,9.0,6,0,51,0,5.66,England,Leeds,Sat Jul 13 00:00:00 BST 1974
ED Solkar,11.0,6,1,31,2,2.81,England,Leeds,Sat Jul 13 00:00:00 BST 1974
S Madan Lal,9.166666666666666,6,1,43,1,4.69,England,Leeds,Sat Jul 13 00:00:00 BST 1974
S Venkataraghavan,11.0,6,0,58,1,5.27,England,Leeds,Sat Jul 13 00:00:00 BST 1974
BS Bedi,11.0,6,0,68,2,6.18,England,Leeds,Sat Jul 13 00:00:00 BST 1974
GG Arnold,7.0,6,0,20,0,2.85,India,The Oval,Mon Jul 15 00:00:00 BST 1974
